cc memoryManager.c
./a.out addresses.txt
Virtual adress: 23430	Physical address: 20614	 Value: 22
Virtual adress: 57592	Physical address: 38136	 Value: 0
Virtual adress: 3080	Physical address: 40200	 Value: 0
Virtual adress: 6677	Physical address: 6677	 Value: 0
Virtual adress: 50704	Physical address: 26128	 Value: 0
Virtual adress: 51883	Physical address: 27307	 Value: -86
Virtual adress: 62799	Physical address: 28495	 Value: 83
Virtual adress: 20188	Physical address: 40668	 Value: 0
Virtual adress: 1245	Physical address: 40925	 Value: 0
Virtual adress: 12220	Physical address: 2748	 Value: 0
Virtual adress: 17602	Physical address: 41154	 Value: 17
Virtual adress: 28609	Physical address: 28097	 Value: 0
Virtual adress: 42694	Physical address: 20934	 Value: 41
Virtual adress: 29826	Physical address: 41346	 Value: 29
Virtual adress: 13827	Physical address: 31235	 Value: -128
Virtual adress: 27336	Physical address: 28872	 Value: 0
Virtual adress: 53343	Physical address: 35423	 Value: 23
Virtual adress: 11533	Physical address: 41485	 Value: 0
Virtual adress: 41713	Physical address: 41969	 Value: 0
Virtual adress: 33890	Physical address: 42082	 Value: 33
Virtual adress: 4894	Physical address: 13598	 Value: 4
Virtual adress: 57599	Physical address: 38143	 Value: 63
Virtual adress: 3870	Physical address: 18974	 Value: 3
Virtual adress: 58622	Physical address: 15614	 Value: 57
Virtual adress: 29780	Physical address: 41300	 Value: 0
Virtual adress: 62553	Physical address: 345	 Value: 0
Virtual adress: 2303	Physical address: 35327	 Value: 63
Virtual adress: 51915	Physical address: 27339	 Value: -78
Virtual adress: 6251	Physical address: 7531	 Value: 26
Virtual adress: 38107	Physical address: 37339	 Value: 54
Virtual adress: 59325	Physical address: 10429	 Value: 0
Virtual adress: 61295	Physical address: 42351	 Value: -37
Virtual adress: 26699	Physical address: 42571	 Value: 18
Virtual adress: 51188	Physical address: 42996	 Value: 0
Virtual adress: 59519	Physical address: 25983	 Value: 31
Virtual adress: 7345	Physical address: 43185	 Value: 0
Virtual adress: 20325	Physical address: 16741	 Value: 0
Virtual adress: 39633	Physical address: 43473	 Value: 0
Virtual adress: 1562	Physical address: 43546	 Value: 1
Virtual adress: 7580	Physical address: 6300	 Value: 0
Virtual adress: 8170	Physical address: 34026	 Value: 7
Virtual adress: 62256	Physical address: 23856	 Value: 0
Virtual adress: 35823	Physical address: 44015	 Value: -5
Virtual adress: 27790	Physical address: 44174	 Value: 27
Virtual adress: 13191	Physical address: 44423	 Value: -31
Virtual adress: 9772	Physical address: 44588	 Value: 0
Virtual adress: 7477	Physical address: 6197	 Value: 0
Virtual adress: 44455	Physical address: 44967	 Value: 105
Virtual adress: 59546	Physical address: 26010	 Value: 58
Virtual adress: 49347	Physical address: 8643	 Value: 48
Virtual adress: 36539	Physical address: 14523	 Value: -82
Virtual adress: 12453	Physical address: 45221	 Value: 0
Virtual adress: 49640	Physical address: 45544	 Value: 0
Virtual adress: 28290	Physical address: 34946	 Value: 27
Virtual adress: 44817	Physical address: 13073	 Value: 0
Virtual adress: 8565	Physical address: 20085	 Value: 0
Virtual adress: 16399	Physical address: 45583	 Value: 3
Virtual adress: 41934	Physical address: 38862	 Value: 40
Virtual adress: 45457	Physical address: 45969	 Value: 0
Virtual adress: 33856	Physical address: 42048	 Value: 0
Virtual adress: 19498	Physical address: 22570	 Value: 19
Virtual adress: 17661	Physical address: 41213	 Value: 0
Virtual adress: 63829	Physical address: 21845	 Value: 0
Virtual adress: 42034	Physical address: 46130	 Value: 41
Virtual adress: 28928	Physical address: 16384	 Value: 0
Virtual adress: 30711	Physical address: 16375	 Value: -3
Virtual adress: 8800	Physical address: 46432	 Value: 0
Virtual adress: 52335	Physical address: 46703	 Value: 27
Virtual adress: 38775	Physical address: 46967	 Value: -35
Virtual adress: 52704	Physical address: 30176	 Value: 0
Virtual adress: 24380	Physical address: 1596	 Value: 0
Virtual adress: 19602	Physical address: 22674	 Value: 19
Virtual adress: 57998	Physical address: 3214	 Value: 56
Virtual adress: 2919	Physical address: 11623	 Value: -39
Virtual adress: 8362	Physical address: 47274	 Value: 8
Virtual adress: 17884	Physical address: 9948	 Value: 0
Virtual adress: 45737	Physical address: 7849	 Value: 0
Virtual adress: 47894	Physical address: 25622	 Value: 46
Virtual adress: 59667	Physical address: 47379	 Value: 68
Virtual adress: 10385	Physical address: 14737	 Value: 0
Virtual adress: 52782	Physical address: 47662	 Value: 51
Virtual adress: 64416	Physical address: 5024	 Value: 0
Virtual adress: 40946	Physical address: 8434	 Value: 39
Virtual adress: 16778	Physical address: 48010	 Value: 16
Virtual adress: 27159	Physical address: 28695	 Value: -123
Virtual adress: 24324	Physical address: 1540	 Value: 0
Virtual adress: 32450	Physical address: 7106	 Value: 31
Virtual adress: 9108	Physical address: 48276	 Value: 0
Virtual adress: 65305	Physical address: 30489	 Value: 0
Virtual adress: 19575	Physical address: 22647	 Value: 29
Virtual adress: 11117	Physical address: 40045	 Value: 0
Virtual adress: 65170	Physical address: 48530	 Value: 63
Virtual adress: 58013	Physical address: 3229	 Value: 0
Virtual adress: 61676	Physical address: 23276	 Value: 0
Virtual adress: 63510	Physical address: 28182	 Value: 62
Virtual adress: 17458	Physical address: 41010	 Value: 17
Virtual adress: 54675	Physical address: 48787	 Value: 100
Virtual adress: 1713	Physical address: 43697	 Value: 0
Virtual adress: 55105	Physical address: 5185	 Value: 0
Virtual adress: 65321	Physical address: 30505	 Value: 0
Virtual adress: 45278	Physical address: 49118	 Value: 44
Virtual adress: 26256	Physical address: 49296	 Value: 0
